"species"	"decimalLongitude"	"decimalLatitude"
"Hepatica nobilis"	-5.508	43.129902
"Hepatica nobilis"	9.623644	47.234253
"Hepatica nobilis"	-2.043135	43.173755
"Hepatica nobilis"	9.864622	52.083523
"Hepatica nobilis"	13.035048	47.785549
"Hepatica nobilis"	-2.043983	43.168251
"Hepatica nobilis"	-2.040582	43.163633
"Hepatica nobilis"	9.626786	47.312011
"Hepatica nobilis"	13.093266	47.78751
"Hepatica nobilis"	-1.214021	43.01285
"Hepatica nobilis"	12.991922	47.581191
"Hepatica nobilis"	9.824781	47.15879
"Hepatica nobilis"	14.021162	54.04794
"Hepatica nobilis"	-6.017156	43.18493
"Hepatica nobilis"	-6.017129	43.184915
"Hepatica nobilis"	-1.202607	43.030483
"Hepatica nobilis"	-1.202786	43.030773
"Hepatica nobilis"	24.838761	57.175536
"Hepatica nobilis"	1.946387	42.815105
"Hepatica nobilis"	13.359935	47.776409
"Hepatica nobilis"	-6.197362	43.263209
"Hepatica nobilis"	10.005761	51.507367
"Hepatica nobilis"	-1.203903	43.030619
"Hepatica nobilis"	12.337492	48.184828
"Hepatica nobilis"	13.09	47.79
"Hepatica nobilis"	13.04	47.79
"Hepatica nobilis"	13.36	47.78
"Hepatica nobilis"	12.529168	54.985672
"Hepatica nobilis"	11.768217	55.512942
"Hepatica nobilis"	11.555453	54.74502
"Hepatica nobilis"	7.79555	46.29835
"Hepatica nobilis"	7.79555	46.29835
"Hepatica nobilis"	7.73284	46.70333
"Hepatica nobilis"	7.47109	46.29891
"Hepatica nobilis"	8.95589	46.01883
"Hepatica nobilis"	8.60504	47.73224
"Hepatica nobilis"	6.95196	46.29786
"Hepatica nobilis"	7.86325	46.65795
"Hepatica nobilis"	7.86325	46.65795
"Hepatica nobilis"	7.86325	46.65795
"Hepatica nobilis"	8.89015	45.97471
"Hepatica nobilis"	8.89015	45.97471
"Hepatica nobilis"	9.02698	46.24278
"Hepatica nobilis"	8.76881	46.2911
"Hepatica nobilis"	7.1422	47.10811
"Hepatica nobilis"	7.66784	46.79344
"Hepatica nobilis"	8.83715	46.42523
"Hepatica nobilis"	7.01685	46.29812
"Hepatica nobilis"	6.94541	47.01748
"Hepatica nobilis"	8.13673	47.60109
"Hepatica nobilis"	8.95216	45.88392
"Hepatica nobilis"	7.79822	46.70315
"Hepatica nobilis"	7.79822	46.70315
"Hepatica nobilis"	8.39135	46.96962
"Hepatica nobilis"	6.55679	46.65531
"Hepatica nobilis"	8.4579	47.01402
"Hepatica nobilis"	8.95465	45.97386
"Hepatica nobilis"	9.343448	48.941921
"Hepatica nobilis"	12.91289	55.55081
"Hepatica nobilis"	16.41573	56.58599
"Hepatica nobilis"	17.83418	58.81994
"Hepatica nobilis"	12.78109	56.65218
"Hepatica nobilis"	11.74636	57.73509
"Hepatica nobilis"	16.20601	57.39794
"Hepatica nobilis"	15.45187	57.43509
"Hepatica nobilis"	18.08489	59.25835
"Hepatica nobilis"	13.32211	55.71479
"Hepatica nobilis"	16.97595	57.19963
"Hepatica nobilis"	16.97595	57.19963
"Hepatica nobilis"	15.09361	56.63107
"Hepatica nobilis"	16.68285	59.55455
"Hepatica nobilis"	16.68579	59.55351
"Hepatica nobilis"	16.51372	57.93801
"Hepatica nobilis"	16.14338	57.95056
"Hepatica nobilis"	16.14333	57.95069
